S,I,R,S2I,I2R
323048700.0,3647721.0,2368509.0,3717.0,31481.0
323007000.0,3670495.0,2387412.0,22774.0,18903.0
322966050.0,3681300.0,2417558.0,10805.0,30146.0
322922300.0,3688814.0,2453825.0,7514.0,36267.0
322872160.0,3721476.0,2471292.0,32662.0,17467.0
322829020.0,3745112.0,2490796.0,23636.0,19504.0
322797500.0,3762405.0,2505014.0,17293.0,14218.0
322773950.0,3768118.0,2522846.0,5713.0,17832.0
322747040.0,3769009.0,2548852.0,891.0,26006.0
322713180.0,3773354.0,2578402.0,4345.0,29550.0
322677120.0,3792481.0,2595341.0,19127.0,16939.0
322629660.0,3824340.0,2610921.0,31859.0,15580.0
322588670.0,3847825.0,2628411.0,23485.0,17490.0
322554400.0,3864996.0,2645545.0,17171.0,17134.0
322520540.0,3875278.0,2669133.0,10282.0,23588.0
322481120.0,3892818.0,2690978.0,17540.0,21845.0
322442700.0,3899845.0,2722411.0,7027.0,31433.0
322397730.0,3929140.0,2738038.0,29295.0,15627.0
322349000.0,3960829.0,2755099.0,31689.0,17061.0
322306530.0,3981602.0,2776795.0,20773.0,21696.0
322268060.0,4006580.0,2790261.0,24978.0,13466.0
322216540.0,4032415.0,2815964.0,25835.0,25703.0
322177060.0,4039864.0,2847997.0,7449.0,32033.0
322138500.0,4054046.0,2872396.0,14182.0,24399.0
322092770.0,4058912.0,2913240.0,4866.0,40844.0
322044700.0,4088898.0,2931331.0,29986.0,18091.0
322000400.0,4109331.0,2955201.0,20433.0,23870.0
321963140.0,4130508.0,2971304.0,21177.0,16103.0
321930850.0,4134107.0,2999953.0,3599.0,28649.0
321888100.0,4157294.0,3019562.0,23187.0,19609.0
321846880.0,4170165.0,3047887.0,12871.0,28325.0
321801570.0,4194647.0,3068700.0,24482.0,20813.0
321747200.0,4235402.0,3082347.0,40755.0,13647.0
321698500.0,4259444.0,3106979.0,24042.0,24632.0
321662430.0,4280810.0,3121705.0,21366.0,14726.0
321623520.0,4295822.0,3145610.0,15012.0,23905.0
321579550.0,4321821.0,3163560.0,25999.0,17950.0
